PAFRM,PATO,PAQTY,PABUBB,PAFLAG,PAEFCC,PAEFYY,PAEFMM,PAEFDD,PASTCC,PASTYY,PASTMM,PASTDD,PACRCC,PACRYY,PACRMM,PACRDD,PACRTT,PACRUU,PACHCC,PACHYY,PACHMM,PACHDD,PACHTT,PACHUU
42.37,IP15LS,2,B,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140334,DDAWSON
42.37,IP25LS,6,C,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140334,DDAWSON
42.37,TDT394,4,D,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140334,DDAWSON
42.38,AD10V,1,A,B,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140334,DDAWSON
42.38,IP15LS,2,B,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140334,DDAWSON
42.38,IP25LS,6,C,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140334,DDAWSON
42.38,TDS394,4,D,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140334,DDAWSON
42.39,AD10V,1,A,B,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140334,DDAWSON
42.39,AMFLS,8,B,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140334,DDAWSON
42.39,IP15SS,2,C,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140334,DDAWSON
42.39,IP25SS,6,D,,19,95,1,1,19,95,1,1,19,95,6,23,72201,NELS,20,4,6,10,140335,DDAWSON
